"","ts_code","trade_date","close","open","high","low","pre_close","change","pct_chg","vol","amount"
"119","000001.SH",2019-06-06,2827.7978,2862.3327,2862.3327,2822.1853,2861.4181,-33.6203,-1.175,177064411,164850546.7
"120","000001.SH",2019-06-05,2861.4181,2882.9369,2888.7676,2858.5719,2862.2803,-0.8622,-0.0301,181561047,175200844.2
"121","000001.SH",2019-06-04,2862.2803,2887.6405,2888.3861,2851.9728,2890.0809,-27.8006,-0.9619,188463541,181118915.5
"122","000001.SH",2019-06-03,2890.0809,2901.7424,2920.8292,2875.9019,2898.6961,-8.6152,-0.2972,215943554,208073320.3
"123","000001.SH",2019-05-31,2898.6961,2904.4976,2922.9075,2895.5778,2905.8054,-7.1093,-0.2447,195230580,191280403.6
"124","000001.SH",2019-05-30,2905.8054,2903.4246,2907.8463,2881.3802,2914.6964,-8.891,-0.305,205758789,197105555.8
"125","000001.SH",2019-05-29,2914.6964,2894.8297,2934.9768,2890.6645,2909.9106,4.7858,0.1645,198958821,202855039.2
"126","000001.SH",2019-05-28,2909.9106,2890.2658,2924.0395,2887.0835,2892.3782,17.5324,0.6062,223310557,227253813.7
"127","000001.SH",2019-05-27,2892.3782,2851.2809,2898.129,2833.0363,2852.9948,39.3834,1.3804,196720902,193768714.3
"128","000001.SH",2019-05-24,2852.9948,2847.8356,2871.8555,2846.0215,2852.5153,0.4795,0.0168,167205490,162689316.2
"129","000001.SH",2019-05-23,2852.5153,2880.8426,2885.1389,2846.956,2891.7046,-39.1893,-1.3552,197340309,192869487.3
"130","000001.SH",2019-05-22,2891.7046,2905.5241,2912.3952,2879.6437,2905.9688,-14.2642,-0.4909,200026905,193629366.6
"131","000001.SH",2019-05-21,2905.9688,2867.7066,2919.2373,2862.4951,2870.6046,35.3642,1.2319,211387022,202777774.1
"132","000001.SH",2019-05-20,2870.6046,2874.8011,2882.6294,2838.453,2882.2962,-11.6916,-0.4056,209472442,199210776.2
"133","000001.SH",2019-05-17,2882.2962,2955.7669,2956.7832,2873.7998,2955.711,-73.4148,-2.4838,266301643,247875177.7
"134","000001.SH",2019-05-16,2955.711,2933.4954,2956.171,2929.0645,2938.6781,17.0329,0.5796,248385701,226203068.9
"135","000001.SH",2019-05-15,2938.6781,2902.6423,2945.3946,2902.6423,2883.6107,55.0674,1.9097,230519701,226262785.6
"136","000001.SH",2019-05-14,2883.6107,2872.8336,2909.2041,2872.8336,2903.7131,-20.1024,-0.6923,208345353,201223315.4
"137","000001.SH",2019-05-13,2903.7131,2905.067,2921.4103,2892.1745,2939.2106,-35.4975,-1.2077,212029882,202624125
"138","000001.SH",2019-05-10,2939.2106,2878.2344,2941.4539,2838.3847,2850.9537,88.2569,3.0957,282306808,274176262
"139","000001.SH",2019-05-09,2850.9537,2871.1968,2888.8596,2845.0374,2893.7567,-42.803,-1.4791,200041133,197446880.7
